job_title,company,location,salary,description,skills,standardized_title,salary_low,salary_avg,standardized_location,experience_years,skill_firebase,skill_rust,skill_ruby,skill_docker,skill_tableau,skill_kafka,skill_mongodb,skill_swift,skill_azure,skill_python,skill_kubernetes,skill_bash,skill_javascript,skill_spark,skill_flutter,skill_r,skill_numpy,skill_sql,skill_golang,skill_elasticsearch,skill_php,skill_react,skill_postgresql,skill_snowflake,skill_tensorflow,skill_vue.js,skill_pytorch,skill_c++,skill_gcp,skill_pandas,skill_scala,skill_aws,skill_angular,skill_node.js,skill_java,skill_power_bi,skill_terraform,skill_hadoop,skill_linux,skills_count,company_size
Machine Learning Engineer,MacroLogic,"Boston, MA",$113001 - $267684 per year,"We are urgently hiring a Machine Learning Engineer for our team at MacroLogic. Experience with Swift, Power BI, Kubernetes, PyTorch, PHP, Snowflake is highly preferred.","['GoLang', 'React', 'Angular', 'GCP', 'Flutter']",ML Engineer,113001.0,190342.5,"Boston, MA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,Large
Systems Architect,DataWorks,"Barcelona, ES",$65799 - $187944 per year,"We are urgently hiring a Systems Architect for our team at DataWorks. Experience with Azure, React, PHP, GoLang, Snowflake, Vue.js is highly preferred.","['Angular', 'Ruby', 'Pandas']",Other Tech Role,65799.0,126871.5,"Barcelona, ES",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,Medium
Systems Architect,SkyNet Inc.,"Los Angeles, CA",$156164 - $285909 per year,"We are urgently hiring a Systems Architect for our team at SkyNet Inc.. Experience with AWS, Power BI, Python is highly preferred.","['PHP', 'C++']",Other Tech Role,156164.0,221036.5,"Los Angeles, CA",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Small
Business Intelligence Analyst,CloudNest,"Vancouver, BC",$96032 - $293331 per year,"We are urgently hiring a Business Intelligence Analyst for our team at CloudNest. Experience with AWS, C++, Linux, Python, PostgreSQL, Scala is highly preferred.","['NumPy', 'Angular', 'Snowflake', 'Kafka', 'Java']",Data Analyst,96032.0,194681.5,"Vancouver, BC",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,Medium
Product Manager,PixelPerfect,"Austin, TX",$55331 - $255914 per year,"We are urgently hiring a Product Manager for our team at PixelPerfect. Experience with Spark, AWS, MongoDB is highly preferred.","['Elasticsearch', 'Tableau', 'C++', 'AWS', 'Docker']",Product/Project Manager,55331.0,155622.5,"Austin, TX",3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,Medium
Full Stack Developer,InnovateX,"Sydney, AU",$57815 - $268501 per year,"We are urgently hiring a Full Stack Developer for our team at InnovateX. Experience with Bash, Node.js, PostgreSQL, PHP is highly preferred.","['Firebase', 'SQL', 'Docker', 'Flutter', 'Tableau', 'Spark']",Full Stack Engineer,57815.0,163158.0,"Sydney, AU",3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Medium
Cloud Engineer,CodeHaven,"Barcelona, ES",$122361 - $211285 per year,"We are urgently hiring a Cloud Engineer for our team at CodeHaven. Experience with Bash, Kubernetes, Hadoop, R, Spark is highly preferred.","['Python', 'R']",DevOps/Cloud Engineer,122361.0,166823.0,"Barcelona, ES",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Medium
Blockchain Developer,GigabyteGroove,Remote,$59204 - $250468 per year,"We are urgently hiring a Blockchain Developer for our team at GigabyteGroove. Experience with Elasticsearch, Scala, Kubernetes, GCP is highly preferred.","['PHP', 'Terraform']",Software Engineer,59204.0,154836.0,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Small
Data Analyst,ByteLogic,"Toronto, ON",$119303 - $260173 per year,"We are urgently hiring a Data Analyst for our team at ByteLogic. Experience with Snowflake, Hadoop, React is highly preferred.","['Scala', 'Node.js', 'React']",Data Analyst,119303.0,189738.0,"Toronto, ON",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,Small
Network Engineer,NextGen,"Denver, CO",$113860 - $259276 per year,"We are urgently hiring a Network Engineer for our team at NextGen. Experience with Azure, Swift, Scala, Elasticsearch is highly preferred.","['Scala', 'AWS', 'Docker', 'Angular', 'Pandas']",Other Tech Role,113860.0,186568.0,"Denver, CO",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,Medium
Data Scientist,TechCorp,"Atlanta, GA",$74293 - $263507 per year,"We are urgently hiring a Data Scientist for our team at TechCorp. Experience with C++, Vue.js, Snowflake, Angular, Python is highly preferred.","['TensorFlow', 'Java']",Data Scientist,74293.0,168900.0,"Atlanta, GA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Medium
Network Engineer,DataWorks,"Portland, OR",$78821 - $236333 per year,"We are urgently hiring a Network Engineer for our team at DataWorks. Experience with SQL, Hadoop, Terraform, GCP is highly preferred.","['PHP', 'React', 'GCP']",Other Tech Role,78821.0,157577.0,"Portland, OR",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,Small
Network Engineer,HyperData Solutions,"Sydney, AU",$80515 - $211029 per year,"We are urgently hiring a Network Engineer for our team at HyperData Solutions. Experience with Ruby, Flutter, JavaScript, Azure is highly preferred.","['PHP', 'Pandas', 'C++', 'React', 'Linux']",Other Tech Role,80515.0,145772.0,"Sydney, AU",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,Small
Data Scientist,CloudNest,"Boston, MA",$92316 - $287031 per year,"We are urgently hiring a Data Scientist for our team at CloudNest. Experience with GCP, Hadoop, Rust, PostgreSQL, JavaScript, GoLang is highly preferred.","['Azure', 'Pandas', 'TensorFlow', 'GCP', 'Elasticsearch']",Data Scientist,92316.0,189673.5,"Boston, MA",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,Small
Mobile App Developer,CircuitFlow,"Berlin, DE",$126808 - $183617 per year,"We are urgently hiring a Mobile App Developer for our team at CircuitFlow. Experience with Scala, Ruby, MongoDB is highly preferred.","['SQL', 'React', 'Firebase', 'Angular']",Software Engineer,126808.0,155212.5,"Berlin, DE",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Large
Cybersecurity Analyst,DeepCompute,"Dallas, TX",$174066 - $195157 per year,"We are urgently hiring a Cybersecurity Analyst for our team at DeepCompute. Experience with PostgreSQL, GoLang, Scala, SQL, Angular, Python is highly preferred.","['Power BI', 'GoLang', 'Terraform', 'Angular', 'TensorFlow', 'Azure']",Data Analyst,174066.0,184611.5,"Dallas, TX",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6,Large
Blockchain Developer,DeepCompute,"Barcelona, ES",$72669 - $274339 per year,"We are urgently hiring a Blockchain Developer for our team at DeepCompute. Experience with Elasticsearch, Hadoop, Flutter, Spark, Bash is highly preferred.","['NumPy', 'Snowflake', 'Kubernetes', 'GoLang', 'Flutter', 'Linux', 'Ruby']",Software Engineer,72669.0,173504.0,"Barcelona, ES",3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,Large
Blockchain Developer,GigabyteGroove,"Miami, FL",$146450 - $251819 per year,"We are urgently hiring a Blockchain Developer for our team at GigabyteGroove. Experience with Hadoop, NumPy, Swift is highly preferred.","['MongoDB', 'Firebase', 'Spark', 'R', 'Vue.js']",Software Engineer,146450.0,199134.5,"Miami, FL",3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Medium
Systems Architect,CircuitFlow,"Austin, TX",$174001 - $242021 per year,"We are urgently hiring a Systems Architect for our team at CircuitFlow. Experience with Docker, NumPy, Elasticsearch, Azure is highly preferred.","['PHP', 'Hadoop']",Other Tech Role,174001.0,208011.0,"Austin, TX",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Large
DevOps Engineer,CodeHaven,"Seattle, WA",$46402 - $186057 per year,"We are urgently hiring a DevOps Engineer for our team at CodeHaven. Experience with PyTorch, TensorFlow, R, Flutter is highly preferred.","['PostgreSQL', 'GoLang', 'Linux', 'Kafka', 'Bash', 'PHP', 'Java']",DevOps/Cloud Engineer,46402.0,116229.5,"Seattle, WA",3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,Medium
Software Engineer,Cloudify,Remote (Global),$151449 - $208683 per year,"We are urgently hiring a Software Engineer for our team at Cloudify. Experience with Tableau, R, AWS, Snowflake is highly preferred.","['Node.js', 'R', 'Kubernetes']",Software Engineer,151449.0,180066.0,Remote,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,Medium
Systems Architect,CircuitFlow,"London, UK",$123177 - $278992 per year,"We are urgently hiring a Systems Architect for our team at CircuitFlow. Experience with Elasticsearch, Angular, Snowflake, Vue.js, C++, PyTorch is highly preferred.","['Scala', 'PHP', 'Pandas', 'Tableau', 'Kafka']",Other Tech Role,123177.0,201084.5,"London, UK",8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,Large
DevOps Engineer,QuantumSoft,"Toronto, ON",$60311 - $273525 per year,"We are urgently hiring a DevOps Engineer for our team at QuantumSoft. Experience with PHP, Pandas, Azure, Spark, Power BI is highly preferred.","['Kubernetes', 'Java']",DevOps/Cloud Engineer,60311.0,166918.0,"Toronto, ON",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Medium
DevOps Engineer,BrightBytes,"Paris, FR",$80056 - $272591 per year,"We are urgently hiring a DevOps Engineer for our team at BrightBytes. Experience with TensorFlow, Flutter, Azure, Power BI is highly preferred.","['Flutter', 'AWS', 'Swift', 'Linux', 'MongoDB']",DevOps/Cloud Engineer,80056.0,176323.5,"Paris, FR",3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,Large
Software Engineer,GigabyteGroove,"Phoenix, AZ",$165037 - $180772 per year,"We are urgently hiring a Software Engineer for our team at GigabyteGroove. Experience with Hadoop, Linux, Flutter, Power BI, Firebase is highly preferred.","['Kafka', 'Rust', 'Pandas']",Software Engineer,165037.0,172904.5,"Phoenix, AZ",3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,Large
Business Intelligence Analyst,CloudNest,"New York, NY",$141936 - $224057 per year,"We are urgently hiring a Business Intelligence Analyst for our team at CloudNest. Experience with C++, R, Kubernetes, Power BI, JavaScript, Bash is highly preferred.","['PostgreSQL', 'JavaScript', 'Docker', 'Angular', 'Kubernetes', 'R']",Data Analyst,141936.0,182996.5,"New York, NY",3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,Small
Full Stack Developer,DataWorks,"Denver, CO",$139379 - $222906 per year,"We are urgently hiring a Full Stack Developer for our team at DataWorks. Experience with R, Spark, Azure, Linux is highly preferred.","['Flutter', 'Scala', 'Docker', 'PyTorch']",Full Stack Engineer,139379.0,181142.5,"Denver, CO",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,Large
Software Engineer,FutureFrame,"San Francisco, CA",$131740 - $209389 per year,"We are urgently hiring a Software Engineer for our team at FutureFrame. Experience with SQL, JavaScript, PHP is highly preferred.","['JavaScript', 'Java', 'PHP']",Software Engineer,131740.0,170564.5,"San Francisco Bay Area, CA",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Small
Backend Developer,CloudNest,"Barcelona, ES",$69986 - $253920 per year,"We are urgently hiring a Backend Developer for our team at CloudNest. Experience with R, Scala, Terraform, C++ is highly preferred.","['Firebase', 'Node.js', 'C++', 'Hadoop', 'React', 'JavaScript']",Backend Engineer,69986.0,161953.0,"Barcelona, ES",3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,Large
Data Analyst,GigabyteGroove,"Barcelona, ES",$138384 - $231990 per year,"We are urgently hiring a Data Analyst for our team at GigabyteGroove. Experience with TensorFlow, MongoDB, PHP, React is highly preferred.","['Hadoop', 'Node.js', 'PostgreSQL', 'SQL', 'GCP', 'Angular', 'Terraform']",Data Analyst,138384.0,185187.0,"Barcelona, ES",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,7,Large
Machine Learning Engineer,MacroLogic,Singapore,$129451 - $181658 per year,"We are urgently hiring a Machine Learning Engineer for our team at MacroLogic. Experience with Kafka, React, Angular, Terraform, R, Java is highly preferred.","['Ruby', 'Tableau', 'Pandas', 'Power BI', 'PyTorch']",ML Engineer,129451.0,155554.5,Singapore,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,Small
Systems Architect,HyperData Solutions,"Dublin, IE",$110358 - $222245 per year,"We are urgently hiring a Systems Architect for our team at HyperData Solutions. Experience with Docker, Pandas, Vue.js, PHP is highly preferred.","['PostgreSQL', 'Linux', 'Azure', 'JavaScript', 'Kafka']",Other Tech Role,110358.0,166301.5,"Dublin, IE",8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,Small
AI Specialist,ByteLogic,"Vancouver, BC",$95605 - $226507 per year,"We are urgently hiring a AI Specialist for our team at ByteLogic. Experience with Azure, Pandas, Firebase, Snowflake, Python is highly preferred.","['GoLang', 'Docker', 'PHP', 'Flutter', 'Kafka', 'PostgreSQL']",Other,95605.0,161056.0,"Vancouver, BC",3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Large
Technical Support Specialist,DataNova,"Paris, FR",$168665 - $238743 per year,"We are urgently hiring a Technical Support Specialist for our team at DataNova. Experience with Docker, NumPy, Rust is highly preferred.","['PHP', 'Hadoop', 'MongoDB', 'Terraform', 'PyTorch']",Other Tech Role,168665.0,203704.0,"Paris, FR",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,Medium
Network Engineer,MacroLogic,"Portland, OR",$151543 - $277771 per year,"We are urgently hiring a Network Engineer for our team at MacroLogic. Experience with GCP, R, Pandas, Hadoop, Scala is highly preferred.","['Node.js', 'GoLang', 'Spark']",Other Tech Role,151543.0,214657.0,"Portland, OR",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,Small
Frontend Developer,FutureFrame,Remote (Global),$88535 - $205105 per year,"We are urgently hiring a Frontend Developer for our team at FutureFrame. Experience with PyTorch, Pandas, MongoDB, Tableau is highly preferred.","['NumPy', 'React', 'GoLang', 'Firebase', 'Rust', 'Terraform']",Frontend Engineer,88535.0,146820.0,Remote,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,Medium
Full Stack Developer,PixelPerfect,"New York, NY",$73182 - $215954 per year,"We are urgently hiring a Full Stack Developer for our team at PixelPerfect. Experience with AWS, Snowflake, NumPy is highly preferred.","['Kubernetes', 'Kafka', 'React', 'Python', 'NumPy', 'PyTorch', 'Tableau']",Full Stack Engineer,73182.0,144568.0,"New York, NY",3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Medium
Systems Architect,DeepCompute,"Chicago, IL",$53468 - $213092 per year,"We are urgently hiring a Systems Architect for our team at DeepCompute. Experience with Node.js, TensorFlow, Bash, Kafka, MongoDB, AWS is highly preferred.","['Java', 'PostgreSQL', 'Hadoop']",Other Tech Role,53468.0,133280.0,"Chicago, IL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,Medium
Machine Learning Engineer,SkyNet Inc.,Remote,$149097 - $259471 per year,"We are urgently hiring a Machine Learning Engineer for our team at SkyNet Inc.. Experience with Tableau, Linux, Vue.js, Hadoop is highly preferred.","['Angular', 'Hadoop', 'PostgreSQL', 'AWS', 'React', 'Swift']",ML Engineer,149097.0,204284.0,Remote,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,Small
Product Manager,QuantumSoft,"Barcelona, ES",$61282 - $200585 per year,"We are urgently hiring a Product Manager for our team at QuantumSoft. Experience with Ruby, Snowflake, TensorFlow, C++ is highly preferred.","['Flutter', 'Vue.js']",Product/Project Manager,61282.0,130933.5,"Barcelona, ES",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Medium
Blockchain Developer,CloudNest,"Miami, FL",$48556 - $210340 per year,"We are urgently hiring a Blockchain Developer for our team at CloudNest. Experience with NumPy, R, TensorFlow, Rust, Scala is highly preferred.","['MongoDB', 'GoLang', 'Angular', 'Node.js', 'Power BI', 'Rust', 'Java']",Software Engineer,48556.0,129448.0,"Miami, FL",3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,Small
Cloud Engineer,NextGen,"Los Angeles, CA",$55633 - $201747 per year,"We are urgently hiring a Cloud Engineer for our team at NextGen. Experience with Firebase, PostgreSQL, NumPy, Vue.js, Node.js is highly preferred.","['Hadoop', 'Bash', 'Pandas', 'Elasticsearch', 'Power BI']",DevOps/Cloud Engineer,55633.0,128690.0,"Los Angeles, CA",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,Medium
